"user_id","average_useful","total_useful","extreme_ratings","extreme_ratings_ratio","average_word_count","fans","average_stars","elite","review_count","compliments"
"b'-7u9xUASHq9aI1TX8Asr3A'",0,0,2,1,145,0,1,0,2,0
"b'-7y59xINAUQpvsbFQ0yM-w'",0,0,1,1,510,0,3,0,2,0
"b'-85Ew5d-8sH6ohMiWDki2g'",0,0,1,1,21,0,4,0,3,0
"b'-8FRiZxcuXc354ffVm2smg'",1.71428571428571,12,4,0.571428571428571,65.2857142857143,0,2.63,0,8,0
"b'-8L5WVhQAVWqp11pGxWquA'",0,0,1,1,94,0,3.4,0,5,0
"b'-8QOUM86hoSh7mPeF-l_eA'",2.5,5,2,1,77,0,1,0,2,0
"b'-8lwAj0DYzmakcf-snkkaQ'",0,0,4,1,92.75,0,5,0,4,0
"b'-91Zo5VcWQexK7xaE6nJ8w'",1,2,2,1,33.5,0,5,0,4,0
"b'-97hNtBuYwDl3y6oa095BA'",1,2,1,0.5,394,0,2.5,0,2,0
"b'-9J9sU6ebqsPEMcqJt6GMw'",0,0,0,0,218,0,3,0,3,3
"b'-9QrNxZ0l0cSbTYXPlsu_g'",2.35087719298246,134,13,0.228070175438596,367.21052631579,32,3.49,1,122,146
"b'-9SgX7hd8fi0fOqErQHzXw'",0,0,1,1,187,0,2.75,0,4,0
"b'-9yq5F2mav5-CEu0zWc8KQ'",2,2,1,1,90,0,2.8,0,5,0
"b'-A2Yc-tSf36TDfUIFDYypw'",5.5,44,2,0.25,221.25,3,3.63,0,8,25
"b'-A3N8e1BmePV8HitnNJ4JQ'",6,6,1,1,99,67,4.13,1,714,467
"b'-AN3oToyKaAQ8PhoKZPzyQ'",0,0,1,1,26,0,1,0,1,0
"b'-ANf93vZlLxE01dJXqLyYg'",0,0,1,1,21,0,3,0,2,0
"b'-AOHJ6Ur85pOI4MrMEx9Lw'",0.714285714285714,10,3,0.214285714285714,67.7142857142857,1,3.15,0,33,2
"b'-ASCHfI1ake13r8iF3asXw'",2,2,1,1,994,0,1,0,1,1
"b'-AqRpIGBuavMSm-Lem4rqQ'",1,1,1,1,90,0,1,0,1,0
"b'-Aw9kRoXmFptUMN2XkJY9w'",2.33333333333333,7,0,0,153.666666666667,5,3.63,0,118,45
"b'-B12zSZcf--Pc5Vy8Nn_Kw'",1.68,42,15,0.6,143.08,2,4.08,1,71,25
"b'-B65SLD0EOkoFXjiEeQWXQ'",0.5,1,0,0,17.5,0,4,0,3,1
"b'-BAKi5vF34V1tvYguaHIUg'",0,0,1,1,60,0,3,0,2,0
"b'-BJIu6TWs26q2yxozPAbEg'",1.125,27,16,0.666666666666667,84,1,3.63,0,29,1
"b'-BLsfwyKVHcsO3TZmhPeGQ'",0,0,1,1,75,0,1,0,1,0
"b'-BPIe_Jkz8KxqzDSukr43Q'",0,0,4,0.8,105.2,0,4.71,0,7,0
"b'-BUSId7_N8NwnezF6TokUA'",0,0,1,1,76,0,5,0,1,1
"b'-BlUnqDSjUU9ms_DROW3NQ'",0.5,2,3,0.75,58.25,0,4.83,0,6,0
"b'-CTq2ccjiF7Si2isbY9vyQ'",1.6,8,1,0.2,96.8,2,3.75,0,7,2
"b'-CVdyuAZoPhBDDZsy3OeyA'",3,3,0,0,79,0,4,0,1,2
"b'-D3ZUouxTpsVDVyPYrUtuA'",1,1,1,1,52,0,1,0,1,0
"b'-D3_EuqNs8PF08-oY004Fg'",0,0,1,1,164,0,1,0,1,0
"b'-DYL8dDsz34a7jm1Thv8JA'",0,0,1,0.5,147,0,3.33,0,3,1
"b'-DbGAofz6FQG37iKZNut4Q'",1.80952380952381,38,6,0.285714285714286,158.952380952381,0,3.69,0,19,12
"b'-DlCQ1CtJJELQHPB8T4RxQ'",3,6,2,1,113.5,0,3.14,0,7,0
"b'-E6AHdTbPAFpJ63lkvuZrA'",1.64383561643836,120,35,0.47945205479452,209.739726027397,3,4.09,1,124,31
"b'-E7l2zr-shdCHLgyXqxxhw'",0,0,2,1,32,0,5,0,5,0
"b'-EXKTWFTGnx6ETFv4cNOfw'",0,0,1,1,68,0,3.88,0,15,0
"b'-EYJAU--gZ39Jw1ewTVm2A'",0,0,1,1,143,0,5,0,1,0
"b'-E_04aujwWPKm7-0LGicKg'",0,0,0,0,20,0,3.85,0,39,0
"b'-EiXiA26r7T90FHDT1zp1Q'",4,4,1,1,19,0,5,0,1,0
"b'-EkZFaNX-gv6htrtSdLQrg'",2,4,2,1,52,0,3.83,0,6,0
"b'-EuMuQO2moISi9Q-ZmdwXw'",0,0,1,1,273,0,3.67,0,2,1
"b'-EyHTt60_F20OqFg5fwNfQ'",0,0,0,0,23,0,3.67,0,6,0
"b'-FhGSNyKRnOOs1f-u4QOjw'",0,0,1,0.5,61.5,0,2.67,0,2,0
"b'-GJ8_3FW1bHNS3V9dr2jOA'",1,1,1,1,38,1,4.07,0,12,6
"b'-GMlg2BmJMa4UZkf0nlY4A'",0.5,1,1,0.5,57,1,3.33,0,3,0
"b'-GQH3Eif2qCP07v0wFC1Pg'",4.89795918367347,240,14,0.285714285714286,213.408163265306,8,3.77,1,59,139
"b'-G_oPMlxSepx9OOO41dZ3Q'",3,3,1,1,120,0,3,0,2,0
"b'-GpXgpezeME1UVFi00bsnw'",12.8,64,3,0.6,298,0,2.8,0,5,6
"b'-H0SeYZqHB9XSJRzTSKn3A'",0,0,1,1,81,0,5,0,2,0
"b'-HBJ-PmgGFVWS5HlfTqsTA'",3,12,1,0.25,77.25,0,2.83,0,6,1
"b'-HBlfCtUndo69cEk-vGbRA'",0,0,1,1,20,0,5,0,1,0
"b'-Hq1Plu32LomkBLQDaPUbQ'",0.888888888888889,8,6,0.666666666666667,32.4444444444444,0,3.56,0,16,1
"b'-Hw3NjqqQ6_g2B5h6Ao9fQ'",0,0,1,1,209,0,1,0,1,1
"b'-I5W23lL7k4KYDRmXrgLhQ'",1,1,0,0,58,0,4.25,0,4,0
"b'-I67V9xgOiFd21QYPZnY3Q'",0,0,1,1,138,0,5,0,1,2
"b'-I7zIsGtSu8s9iuWe4I1gg'",0,0,0,0,79,0,2,0,1,0
"b'-IA37irjpEeaDxDbrOmN9Q'",1,1,1,1,44,0,3,0,4,0
"b'-IffkZ6mRNVg7adSG-O6Pg'",0,0,0,0,221,0,4,0,2,0
"b'-IkYCmq_Fs3QZ1dgkEI30Q'",0,0,0,0,92,0,2.82,0,9,0
"b'-InhDRRVG7wrwsgAUvN4Qw'",0,0,2,1,117,70,3.84,1,799,365
"b'-Iu3h9_lLmK600gODyEPNQ'",4,8,1,0.5,90,0,4.25,0,4,2
"b'-IxAxTicu9TXP-_HqctcMA'",3.125,25,5,0.625,75.625,2,4.55,0,11,14
"b'-J0oOyW198xHUG1mCZ8NOg'",0,0,1,1,180,0,1,0,1,0
"b'-J7OBsgfahs16i_pA9waJg'",7,7,1,1,217,0,2.63,0,7,1
"b'-JNScD4n1hi22yjild7zYw'",0,0,1,1,177,0,3.67,0,3,0
"b'-JWA03ub7LGDqyp4ySh5OA'",0,0,1,1,16,0,5,0,1,0
"b'-Je3zLNMIZkct_-g3TvPZQ'",2,2,1,1,459,0,1,0,1,0
"b'-JucLVU6fL18J-aNlVe2Ow'",0,0,0,0,239,0,2,0,1,0
"b'-JyN6nw_LdnyaIV3DrEB8Q'",0,0,1,1,35,0,5,0,1,0
"b'-K51iNRDrzidq05fvPu5dQ'",0,0,2,1,34.5,0,5,0,3,0
"b'-KC84JvQfgmKuFCX4wv36g'",8,8,1,1,170,0,1,0,1,0
"b'-KpEgEen1tj-jdjIS7uVOw'",0.909090909090909,10,4,0.363636363636364,112.181818181818,5,3.83,1,168,30
"b'-LF9GtkFeLcBvJsbjSbj-Q'",0.5,1,1,0.5,38,0,3,0,2,0
"b'-LXOqBr2JMHTwn92mA3S6A'",0.833333333333333,5,3,0.5,151.666666666667,0,4.11,0,9,0
"b'-LZbpuuubk_hJmbkCNZzww'",1.28571428571429,9,3,0.428571428571429,64.8571428571429,0,3.09,0,20,3
"b'-Leg0mzs4Fj5TDVIRLjLtQ'",0.95,19,3,0.15,94.25,0,3.3,0,20,7
"b'-LzxdPlEoUFzeYGXYfbkHQ'",0.2,1,3,0.6,86.2,0,4.3,0,10,2
"b'-MKHuv7xEyri3dwUBBTj-Q'",0,0,1,1,40,0,4.33,0,3,0
"b'-MTqz4p326Z0uzPoGXJ99Q'",0,0,1,0.5,50,0,3,0,2,0
"b'-MZSr4VErbuvzm8c5z2gbQ'",1,6,0,0,109.166666666667,0,2.71,0,7,0
"b'-MfaS89GYuiOjMTLBBI0zw'",0,0,1,1,557,0,1,0,1,0
"b'-MhSr9sa4moQWLI7N3c5MA'",0,0,1,1,122,0,5,0,1,1
"b'-Mhj_NvtOuNSi7BHeC3znw'",0,0,1,1,35,0,5,0,1,0
"b'-N50nHgGFrL6VE_RafR0MQ'",2,4,2,1,151,0,1,0,3,1
"b'-NEuiczvThLcv-kIawdigA'",1,6,3,0.5,79.3333333333333,0,3.72,0,35,2
"b'-NSrrVaE-Z7jp_GJ_WSkiA'",0,0,0,0,85,0,4,0,3,0
"b'-NYVMPKLzNhRLBJSeeTM_w'",4,4,1,1,44,0,1.24,0,16,0
"b'-NcfRGxuHZUs9QQjrcV9KA'",1,4,1,0.25,67.5,1,3.5,0,6,5
"b'-NrhU_8aJd6Bltt8OMJzpQ'",0,0,1,1,56,0,1,0,1,0
"b'-Nyv5ksigt0OvHgDsj87AQ'",0.333333333333333,1,0,0,123.333333333333,1,3.87,1,45,7
"b'-O0Cxte8U7nMwJgPd76SjA'",0.5,1,0,0,256.5,1,3.68,0,62,4
"b'-Oer2os7LrtAagVuWSN1AQ'",1.68852459016393,206,21,0.172131147540984,119.090163934426,14,3.5,1,217,150
"b'-OhHYp_hHkpmPtevVtO7pQ'",0.857142857142857,6,3,0.428571428571429,171.428571428571,0,3.75,0,8,0
"b'-OpJf9zRLz_T7tvukSEdjQ'",0,0,1,1,20,0,1,0,1,0
"b'-Ot-ZoFYSSJ3QjlGfOl9VA'",2.66666666666667,8,3,1,52.6666666666667,0,1.6,0,5,0
"b'-P0V1GXqW-3XlCZ1DX00Vg'",0,0,1,1,73,1,4.87,0,31,2
"b'-PI7gSutrD_W5T3E3lL-jA'",0.90625,29,10,0.3125,105.125,0,4.02,1,43,24
"b'-PIT-grLPJBjjt6ztBsoBA'",0,0,1,1,84,0,4.17,0,6,0
"b'-PIfi6GsmtslX0EiiE2_Nw'",3,3,1,1,308,0,1,0,1,0
"b'-PSkJtulmetZ6vpY5Aeh0Q'",0.1,1,2,0.2,80.7,1,3.71,0,17,0
"b'-PTn0MWCbVFsRhTvxDC12g'",0,0,1,0.5,54,11,3.96,1,163,22
"b'-QGgUvf3gYuxdGC2Aq67xQ'",0,0,1,1,179,0,3,0,2,0
"b'-QNxi1SEefsjVsw9_GP20A'",0.75,3,4,1,63,0,1,0,7,0
"b'-QQXVV4T8r9zF5oi6gZ0hA'",1,1,1,1,643,0,3,0,2,0
"b'-QnD6u3O-V3gKlpkNMf84A'",1.4,7,2,0.4,90.4,0,2.75,0,6,0
"b'-Qx_sh4O_ff33JOpLFE8bQ'",0,0,1,1,360,0,1,0,1,0
"b'-RGS5tP8XTWFU3e55F_eoA'",1,2,2,1,88.5,0,3,0,2,0
"b'-RPU0nRf92JYuNAPY5j88A'",0.5,1,1,0.5,94.5,0,3,0,5,0
"b'-RX0frPIoQ-x1TTwOOnmpw'",0.8125,13,7,0.4375,70.125,2,4.21,0,19,8
"b'-RaWWgJWqjbWkoOhBi4UxQ'",0.833333333333333,10,5,0.416666666666667,103.25,1,4,0,25,2
"b'-RdcoZAzlQAzyMAwY6elXg'",3,18,2,0.333333333333333,42.6666666666667,0,3.5,0,8,2
"b'-S15O2BqOGKTYqRcftQoyA'",2.75,11,1,0.25,204,0,4,0,5,0
"b'-SCFoNU9FZJTFdwXGxr87w'",1,2,2,1,446,0,2.86,0,6,0
"b'-SLeV0Kd8QhDgfn8dUZ9IQ'",0,0,0,0,48,0,3.83,0,12,0
"b'-SXNRAjKmENNLeDXsa6nSQ'",0,0,0,0,47,0,4,0,2,0
"b'-SlV-SR18T-C7PVQmsjkpQ'",0,0,1,1,45,0,4.75,0,4,0
"b'-SngsZESdOsuzzII_kZQqQ'",1,1,1,1,188,0,4.42,0,57,1
"b'-So_Ed3CwLpbHNstNZEkuQ'",0,0,1,1,33,0,5,0,3,0
"b'-TCEX6TQHFtrH1S_FQMS2Q'",3,3,1,1,112,0,1,0,1,0
"b'-TRZBME9iZ91elkJ8U6fag'",0,0,1,1,70,0,4.83,0,6,2
"b'-TS20OKRHlZGHm5yjgdijQ'",4.5,9,2,1,266,0,1,0,1,2
"b'-TXEPi7jsyKI7vjeXt7y-A'",0.166666666666667,1,5,0.833333333333333,56.6666666666667,0,3.83,0,6,0
"b'-TtyU7O-S-cjI6Zkflw6lA'",1,1,0,0,131,0,2,0,1,0
"b'-U2AvRO_VHYL2nV2MTk19Q'",0,0,1,1,144,0,1,0,1,0
"b'-U3Q5q56iZWk7xX7CTrPYw'",0,0,1,0.5,277,0,1.5,0,1,0
"b'-UBnFUSp16h9s7ABP5LQlA'",0,0,2,1,44.5,0,3.11,0,8,0
"b'-UCXDFliKq-UEULKd-dWMA'",0.5,1,1,0.5,301.5,0,1.5,0,2,0
"b'-UDNwGhFHfYxxtZIqwJN0w'",1.5,3,1,0.5,160.5,0,3.13,0,8,1
"b'-UIM4vZ5lITa-jJFOAv_VA'",3,3,1,1,195,0,1,0,1,0
"b'-UMXDiFvnZCC-WILVSCdCg'",5,5,1,1,275,0,1.5,0,2,0
"b'-UPwylg8dkZfRyUNNUqnTA'",1,1,1,1,27,0,4.17,0,6,0
"b'-UQBdC9iaVdMFSqcZrDgJw'",1,1,1,1,82,0,2.5,0,3,0
"b'-URyUWIXuYVvGxlzAtA9ww'",1,1,0,0,70,0,2,0,1,0
"b'-UfeuYCHHxjYNa6JLnpsUg'",1,9,6,0.666666666666667,96,1,4.23,1,20,12
"b'-UxNxMRdTxcclDEcirR_bg'",1.5,3,0,0,85.5,0,4,0,4,2
"b'-Uzc9IEzMkpR5rl0_PECaw'",0,0,1,1,277,0,3.8,0,10,2
"b'-VbYmgzUplgZ52BWrGtdYQ'",0.666666666666667,2,1,0.333333333333333,37.6666666666667,0,3.6,0,5,0
"b'-Vdgtf0BNoKm5_GCYxLz0g'",0,0,1,1,28,0,5,0,2,0
"b'-Vhpws5ByDWCR15K3ypBbg'",1,1,1,1,25,0,1,0,1,1
"b'-WEfnnJb_oK9d2qov6blJg'",0,0,0,0,68,0,3.85,0,13,0
"b'-WIpz0NYcbTvSfiKPG12tQ'",1,1,1,1,45,0,5,0,1,0
"b'-WJTpfKRHlZqWIW4kvliIA'",0,0,2,1,102,0,3,0,2,0
"b'-WOCsO8afWijfrafuYyD5A'",3,3,1,1,53,0,1.83,0,6,0
"b'-WbaCoM9RkFE3Nu9NuY30A'",0,0,1,1,274,0,1,0,2,0
"b'-Wdk9QKbBxEbqEYP8tzLUQ'",1.5,3,2,1,37.5,0,3,0,2,0
"b'-Wf8bJTgIVHhdbk7thd91A'",0,0,1,1,136,0,1,0,1,0
"b'-X3kQ8lPA4IadFccYVXE0A'",0.2,1,1,0.2,122.8,0,3.57,0,6,0
"b'-X6JfyVM3U8MLiPryhzZ7w'",11,33,1,0.333333333333333,107,0,2.5,0,4,1
"b'-XMwfiAGwe-ReJp1XZS3wQ'",0,0,1,1,117,0,1,0,1,0
"b'-XRTe35bOr5y_8ESiwe_LA'",0,0,1,1,66,0,1,0,1,0
"b'-XYc-0RrgmG8ERt9uW5ohQ'",0.5,1,0,0,61,0,2.11,0,9,0
"b'-Xe9aKKOqz0r_s4KQeBTkg'",3,3,1,1,36,0,1,0,1,0
"b'-Xj78_eQRkFvCmJub3A6Jw'",0,0,0,0,46,0,4,0,1,0
"b'-XmZC2eTR9hx-xPamRDc0Q'",0,0,0,0,208,0,4,0,1,0
"b'-Xs4Mz-5pnFKCO8dQvxTcA'",0,0,1,1,215,0,5,0,1,0
"b'-Y-7gMplm5QcoILifGEUtg'",1,1,1,1,82,0,5,0,1,0
"b'-Y3oDSk8y4Yq0GauJUxa9A'",1,1,1,1,61,0,1,0,1,0
"b'-YPyn-_nOVUSB7FFMfHOww'",0,0,1,1,37,0,1,0,1,0
"b'-YTd94Z8fFyC4hXfRsT5pA'",0,0,1,1,67,0,3,0,2,0
"b'-Yj5J8iWoe0VUhYew4XNnA'",0,0,1,1,123,1,2.73,0,17,0
"b'-ZMt9z_n7f-K3MDCqMuTSg'",1,1,1,1,37,0,5,0,1,0
"b'-ZUC2H34x5QcIcphcQP5GQ'",0,0,2,0.5,68,0,2.2,0,4,0
"b'-ZWy3zHfo-xheQyh4l6IKg'",1,1,1,1,64,2,3.86,0,12,3
"b'-Zo03UtisPemf6IHX8AVZQ'",1,3,3,1,82.6666666666667,0,4.32,0,27,3
"b'-Zq6uNB5elYMjBlS_ZfwUw'",0,0,1,1,196,0,1,0,1,0
"b'-_DyOjmAPjY_-uzFaBuNYw'",0.142857142857143,1,0,0,53,1,4.31,0,13,10
"b'-_FAnSnFUFK12EQTQNRbNQ'",0,0,1,1,28,0,1,0,1,0
"b'-_Q8EGu4uSDb0HKO7kQKBg'",0,0,3,1,46.6666666666667,0,5,0,3,0
"b'-_TBlZG9fbt1yHLcu8hS0A'",0.529411764705882,9,10,0.588235294117647,56.8823529411765,0,4.36,0,24,9
"b'-_YBN2oVeLfKqaiFsa5AuQ'",0,0,1,1,26,0,5,0,1,0
"b'-_fDmhClugYdfy19qcNQpw'",1,1,1,1,17,0,5,0,2,1
"b'-a9zO-POQk0Ap6JlqC1ycw'",6,6,1,1,128,0,1,0,3,0
"b'-acwxjvPhiGiVtt8RBzjAg'",0,0,0,0,28,0,4.09,0,11,0
"b'-b-SEEnMtLpetoSuuQn_6Q'",0.037037037037037,1,3,0.111111111111111,26.3703703703704,0,3.72,0,29,5
"b'-blZ6JzPCHhibnGzlBKBYg'",0,0,1,0.5,51,0,3.5,0,2,0
"b'-buDVsBHSP--elVc92vIxw'",0,0,0,0,53,1,4.24,0,25,0
"b'-c-3qwLy2D5bvRmIdevehg'",1,2,1,0.5,130,0,2.5,0,2,3
"b'-c1gh1bE1Mt9WnzoLGJY_A'",0.6,3,2,0.4,54.6,0,2.5,0,7,1
"b'-c5eMW-k34psr69hpuOt_Q'",0,0,1,1,39,0,1,0,1,0
"b'-c65vY3AqyCNWfELyPS4jw'",0,0,0,0,99,0,4.25,0,4,0
"b'-cd04gpJX37CzJ_i-ib6Hw'",0.6,3,2,0.4,107.2,0,3.5,0,6,0
"b'-cefE54dkMI9cJ8kWudebg'",2.71910112359551,242,20,0.224719101123595,150.707865168539,10,3.85,1,150,227
"b'-cj1pFtH37o1jhPFnEmlLw'",0,0,1,1,247,0,5,0,1,0
"b'-cnMNmrAGhFKOUhpGY7eUw'",2,2,1,1,597,0,5,0,2,0
"b'-cwoSUKPvN3Xp0fvNIdP8g'",3.08333333333333,222,16,0.222222222222222,656.611111111111,26,4.08,1,74,108
"b'-d1CHqGFhyhXT_RJzjwlUA'",0,0,1,1,187,0,1,0,1,0
"b'-d9WDZLkJK_jua1G-3Eykw'",0,0,1,1,40,0,4.31,0,13,0
"b'-dA41SwTzRHgNFiDSbuTxw'",0,0,1,0.5,30.5,0,4.5,0,2,0
"b'-dV2GaHNJHhDYbrmu48ZDQ'",3,3,0,0,123,16,3.83,1,338,125
"b'-d_jsK5mrixao5Wm_QKpDg'",0,0,1,1,69,1,3,0,2,0
"b'-e00H5DYOLtrHub80c6ERw'",0.285714285714286,2,4,0.571428571428571,77.2857142857143,2,3.63,0,8,1
"b'-eV9o-F_ejw7ov4s4FFVEQ'",2.16666666666667,104,20,0.416666666666667,177.5,1,4.19,1,65,34
"b'-eVlcMv26bqxyX44WtF72Q'",1,1,0,0,332,0,3.5,0,4,0
"b'-eln7mD9Pm86_OZcZaPMDg'",0,0,1,1,58,0,2.67,0,3,0
"b'-fexmXPu2aTdSCcXffcv9w'",0,0,1,1,125,0,1,0,1,0
"b'-fpz7BON3dyVZW3iKeuQXg'",2,2,0,0,465,0,3.5,0,2,0
"b'-fyrdh4gxtC9htUFcpj9gg'",0,0,2,1,54,0,5,0,3,0
"b'-g7Zc3WAFXEE9Q6N9465zA'",0,0,1,1,41,0,5,0,2,0
"b'-g8nkLX6PGNDSgoy4YzjFA'",1.3013698630137,95,22,0.301369863013699,255.808219178082,1,3.41,0,60,25
"b'-gBS9otnJAjn7LbBTI-mJA'",0,0,0,0,106,0,4,0,4,1
"b'-gJm8jusO7euSavPFOgYGw'",1,1,0,0,129,1,2,0,1,1
"b'-gol--Yf8iTGwgYO4TiHdA'",0,0,1,0.5,49,0,3.29,0,7,1
"b'-gtlpyuUva_xs1bYBigsnw'",0,0,2,0.666666666666667,37,0,4.67,0,3,0
"b'-gzH91WI8-RphjXAfuR8xQ'",1.5,3,0,0,119,47,3.44,1,371,432
"b'-h2GML8MIqWKTBgLljg3dA'",0,0,1,0.5,31.5,0,4,0,5,0
"b'-hNmMxyNM3tekYhlovQ-1A'",1,1,1,1,24,0,2.33,0,2,0
"b'-hUgrj7Lzir3yLUYrMYQ4g'",1.5,6,2,0.5,347.75,14,3.59,1,218,229
"b'-hcp90jWgQ-GaOqOexVduw'",0.5,1,1,0.5,98,0,3,0,3,0
"b'-hepE3AK_tBdxlUmowgKXg'",0,0,0,0,113,0,4,0,1,0
"b'-hls3HIM3phfsrE_oLkVcA'",0.5,2,2,0.5,89.5,0,4,0,7,1
"b'-hy8cP8fy9jnGEHfFzUKyw'",1,2,2,1,102.5,0,5,0,2,0
"b'-iKYTjO_ZM8Q8XDEGjajjQ'",1,2,1,0.5,160,0,4.4,0,5,0
"b'-iTdxTL0UBX6bnqLdMqT8g'",1,2,1,0.5,72,1,4.5,0,4,1
"b'-icmJP0YtypIPYE8gd9LvQ'",0.833333333333333,5,6,1,46.8333333333333,0,3.86,0,7,1
"b'-ie9jqOiRDVem6_2jnlrTA'",1,1,1,1,107,0,3,0,2,0
"b'-ilI32YyadIW_0w69w57cw'",1.5,6,4,1,60.75,0,2.78,0,8,0
"b'-iwtOPFsF8qVHwzvDyT0oQ'",0,0,1,1,70,0,5,0,1,0
"b'-iy5Q2GuXWc3B8qutrn4_A'",3,3,0,0,77,0,2.36,0,28,0
"b'-j3CzhG9lLP6HdPBIXK09g'",0,0,2,1,26.5,0,5,0,2,0
